Group,Fork,Richness,EPT,FBI,Filters,Predators,Shannon,Room
2,South,8,0.50,3.00,0.25,0.30,1.88,2005
3,South,6,0.50,3.57,0.52,0.33,1.64,2005
4,South,6,0.12,3.20,0.38,0.52,1.49,2005
5,South,8,0.21,2.86,0.21,0.53,1.90,2005
6,South,8,0.50,2.85,0.25,0.50,1.75,2005
7,South,10,0.35,3.35,0.25,0.30,2.14,2005
8,South,7,0.60,2.60,0.30,0.35,1.82,2005
9,South,7,0.52,3.00,0.31,0.31,1.77,2005
10,South,10,0.30,4.05,0.30,0.30,2.20,2005
11,South,9,0.55,2.30,0.15,0.55,1.86,2005
12,South,8,0.56,3.40,0.28,0.39,1.89,2005
13,South,7,0.57,2.76,0.28,0.48,1.75,2005
14,South,9,0.33,3.62,0.38,0.29,2.04,2005
15,South,7,0.50,3.25,0.35,0.40,1.81,2005
16,South,8,0.65,2.55,0.25,0.50,1.71,2005
17,South,7,0.62,2.76,0.38,0.43,1.65,2005
18,South,9,0.58,2.41,0.21,0.50,1.80,2005
19,South,7,0.60,3.25,0.45,0.35,1.71,2005
20,South,9,0.55,2.15,0.10,0.45,1.95,2005
21,South,7,0.65,2.75,0.25,0.40,2.08,2005
22,South,7,0.45,3.20,0.40,0.40,1.72,2005
23,South,9,0.40,2.65,0.20,0.25,2.13,2005
24,South,6,0.60,2.90,0.35,0.40,1.55,2005
25,South,6,0.65,2.45,0.30,0.55,1.50,2005
26,South,7,0.55,3.35,0.40,0.40,1.75,2005
27,South,8,0.40,3.55,0.35,0.40,1.95,2005
28,South,8,0.50,2.95,0.35,0.40,1.92,2005
29,South,8,0.55,2.55,0.10,0.60,1.86,2005
30,South,8,0.50,3.85,0.40,0.25,2.20,2005
31,South,7,0.35,3.05,0.20,0.45,1.83,2005
32,South,9,0.45,3.00,0.15,0.50,2.01,2005
33,South,7,0.56,3.28,0.33,0.44,1.78,2005
34,South,7,0.53,3.16,0.37,0.32,1.76,2005
35,South,8,0.25,3.35,0.13,0.13,1.89,2005
36,South,8,0.42,2.59,0.26,0.11,1.98,2005
37,South,8,0.75,3.05,0.20,0.55,1.83,2005
38,South,9,0.45,2.70,0.10,0.45,1.97,2005
39,South,7,0.40,4.15,0.50,0.25,2.09,2005
40,South,9,0.40,2.85,0.20,0.45,2.08,2005
41,South,7,0.60,2.95,0.30,0.30,1.74,2005
42,South,6,45.00,3.50,45.00,30.00,1.70,2005
43,South,9,0.50,3.20,0.35,0.35,1.80,2005
44,South,9,0.55,4.20,0.25,0.50,4.29,2005
45,South,7,0.60,3.20,0.45,0.40,1.73,2005
46,South,9,0.50,2.90,0.10,0.40,1.90,2005
47,South,8,0.25,3.20,0.15,0.40,1.39,2005
48,South,8,0.60,2.95,0.25,0.35,1.87,2005
49,South,7,0.70,2.30,0.20,0.50,1.68,2005
50,South,7,0.50,2.95,0.35,0.45,1.78,2005
51,South,9,0.40,2.40,0.20,0.25,2.04,2005
52,South,7,0.50,3.05,0.30,0.25,1.84,2005
53,South,6,0.47,3.11,0.32,0.42,1.61,2005
54,South,9,0.50,2.70,0.30,0.40,1.99,2005
55,South,8,0.50,3.15,0.45,0.30,1.84,2005
56,South,9,0.33,3.76,0.43,0.33,2.02,2005
57,South,7,0.40,3.90,0.50,0.20,1.83,2005
58,South,8,0.35,3.35,0.40,0.30,1.95,2005
59,South,8,0.29,3.50,0.38,0.38,2.05,2005
60,South,9,0.40,3.40,0.35,0.35,2.03,2005
61,South,9,0.60,0.00,0.25,0.50,1.90,2005
62,South,8,0.50,2.65,0.30,0.50,1.74,2005
63,South,6,0.58,2.16,0.21,0.58,1.66,2005
64,South,6,0.27,3.60,0.30,0.35,1.70,2005
65,South,8,0.15,2.80,0.25,0.45,1.98,2005
1,North,6,0.32,5.80,0.52,0.00,1.26,2007
2,North,7,0.40,5.05,0.55,0.05,1.70,2007
3,North,6,0.35,5.35,0.60,0.05,1.80,2007
4,North,5,0.20,5.50,0.50,0.00,1.54,2007
5,North,6,0.30,5.45,0.60,0.05,1.62,2007
6,North,5,0.35,6.10,0.40,0.00,1.36,2007
7,North,7,0.35,6.15,0.40,0.00,1.80,2007
8,North,6,0.45,5.40,0.60,0.00,1.52,2007
9,North,7,0.30,5.70,0.55,0.00,1.70,2007
10,North,8,0.30,5.30,0.50,0.05,2.32,2007
11,North,8,0.40,4.75,0.60,0.10,1.83,2007
12,North,6,0.35,5.60,0.45,0.10,1.64,2007
13,North,6,0.30,8.85,0.55,0.00,1.67,2007
14,North,7,0.15,5.85,0.45,0.00,3.03,2007
15,North,6,0.45,5.40,0.55,0.00,1.53,2007
16,North,8,0.20,4.45,0.40,0.05,1.61,2007
17,North,7,0.30,5.70,0.50,0.10,1.36,2007
18,North,6,0.35,5.50,0.50,0.00,1.57,2007
19,North,6,0.30,5.40,0.60,0.00,1.62,2007
20,North,6,0.25,6.00,0.45,0.00,1.71,2007
21,North,5,0.36,5.55,0.59,0.00,1.53,2007
22,North,6,0.30,5.95,0.40,0.00,1.71,2007
23,North,5,0.36,5.55,0.59,0.00,1.51,2007
24,North,7,0.35,5.30,0.65,0.05,1.66,2007
25,North,7,0.40,5.30,0.65,0.05,1.63,2007
26,North,5,0.38,6.00,0.58,0.00,1.45,2007
27,North,5,0.43,5.67,0.43,0.00,1.28,2007
28,North,6,0.38,5.46,0.42,0.00,1.53,2007
29,North,5,0.25,5.70,0.45,0.00,1.55,2007
30,North,5,0.35,6.00,0.45,0.00,1.43,2007
31,North,7,0.45,5.05,0.50,0.05,1.59,2007
32,North,7,0.35,5.55,0.55,0.05,1.25,2007
33,North,9,0.25,5.50,0.40,0.15,2.35,2007
34,North,6,0.20,5.70,0.40,0.00,1.85,2007
35,North,6,0.30,5.90,0.55,0.00,1.64,2007
36,North,8,0.20,5.20,0.60,0.05,1.81,2007
37,North,5,0.35,5.40,0.50,0.00,1.54,2007
38,North,6,0.25,5.80,0.45,0.00,1.69,2007
39,North,5,0.25,5.65,0.45,0.00,1.60,2007
40,North,8,0.45,6.05,0.80,0.05,1.76,2007
41,North,7,0.40,5.63,0.55,0.05,1.63,2007
42,North,6,0.35,5.95,0.55,0.00,1.58,2007
43,North,8,0.30,5.15,0.55,0.00,1.88,2007
44,North,7,0.25,5.80,0.60,0.00,1.74,2007
45,North,7,0.20,5.90,0.50,0.00,1.80,2007
46,North,7,0.40,5.50,0.65,0.00,1.61,2007
47,North,5,0.24,6.10,0.43,0.00,1.56,2007
48,North,6,0.40,5.00,0.75,0.05,1.42,2007
49,North,6,0.30,6.35,0.50,0.00,1.64,2007
50,North,7,0.30,4.70,0.40,0.05,1.71,2007
51,North,6,0.35,5.65,0.45,0.00,1.57,2007
52,North,6,0.30,5.60,0.60,0.00,1.65,2007
53,North,5,0.36,5.50,0.59,0.00,1.49,2007
54,North,7,0.40,5.10,0.65,0.05,1.65,2007
55,North,6,0.35,5.70,0.65,0.00,1.54,2007
56,North,7,0.26,5.68,0.42,0.05,1.78,2007
57,North,8,0.45,4.05,0.45,0.15,1.94,2007
58,North,6,0.37,5.00,0.47,0.00,1.67,2007
59,North,6,0.25,6.00,0.30,0.00,1.62,2007
60,North,5,0.37,5.26,0.63,0.00,1.44,2007
61,North,8,0.40,4.65,0.50,0.15,1.87,2007
62,North,8,0.32,4.42,0.37,0.05,1.79,2007
63,North,6,0.33,5.28,0.56,0.00,1.60,2007
64,North,9,0.37,4.58,0.37,0.11,2.00,2007
65,North,6,0.50,4.93,0.50,0.07,1.44,2007
66,North,7,0.57,2.70,0.26,0.42,1.85,2007
67,North,6,0.42,4.90,0.58,0.00,1.58,2007
68,North,7,0.30,5.15,0.65,0.10,1.64,2007
1,South,6,0.60,2.00,0.15,0.65,1.69,2007
2,South,4,0.75,3.15,0.55,0.45,1.25,2007
3,South,8,0.70,1.55,0.10,0.65,1.78,2007
4,South,7,0.70,2.85,0.30,0.55,1.50,2007
5,South,8,0.55,2.60,0.25,0.45,1.87,2007
6,South,7,0.65,2.50,0.35,0.55,1.70,2007
7,South,7,0.35,2.86,0.25,0.55,1.80,2007
8,South,7,0.40,3.75,0.50,0.35,2.14,2007
9,South,8,0.60,2.80,0.40,0.45,1.82,2007
10,South,8,0.30,3.50,0.50,0.20,1.90,2007
11,South,6,0.55,3.05,0.40,0.50,1.65,2007
12,South,8,0.60,2.35,0.20,0.45,1.87,2007
13,South,9,0.55,3.25,0.40,0.40,1.96,2007
14,South,8,0.50,3.05,0.30,0.40,1.83,2007
15,South,7,0.50,2.85,0.30,0.55,1.80,2007
16,South,7,0.30,2.40,0.25,0.55,1.82,2007
17,South,8,0.55,2.20,0.25,0.55,1.88,2007
18,South,8,0.55,2.70,0.35,0.45,1.92,2007
19,South,6,0.65,2.95,0.35,0.35,1.56,2007
20,South,8,0.44,2.55,0.25,0.50,1.84,2007
21,South,7,0.60,2.65,0.30,0.50,1.71,2007
22,South,7,0.65,2.95,0.40,0.40,1.89,2007
23,South,7,0.60,2.65,0.30,0.50,1.71,2007
24,South,7,0.35,3.05,0.25,0.40,1.86,2007
25,South,6,0.55,3.35,0.45,0.40,1.64,2007
26,South,10,0.58,3.50,0.46,0.38,1.94,2007
27,South,6,0.60,2.92,0.40,0.44,1.59,2007
28,South,9,0.55,2.60,0.38,0.25,1.16,2007
29,South,7,0.53,2.70,0.33,0.47,1.83,2007
30,South,7,0.55,2.85,0.35,0.50,1.90,2007
31,South,7,0.65,2.75,0.30,0.45,1.62,2007
32,South,8,0.45,3.20,0.30,0.45,1.94,2007
33,South,8,0.50,2.65,0.25,0.50,2.00,2007
34,South,8,0.27,2.70,0.37,0.50,2.34,2007
35,South,7,0.60,2.60,0.25,0.45,1.78,2007
36,South,8,0.50,3.00,0.35,0.45,1.93,2007
37,South,7,0.75,2.55,0.35,0.40,1.64,2007
38,South,7,0.45,3.40,0.45,0.40,1.75,2007
39,South,7,0.55,2.90,0.25,0.45,1.72,2007
40,South,8,0.50,3.60,0.40,0.40,1.90,2007
41,South,7,0.50,2.55,0.20,0.55,1.78,2007
42,South,7,0.65,2.05,0.20,0.50,1.74,2007
43,South,8,0.65,2.25,0.30,0.50,1.75,2007
44,South,8,0.45,2.60,0.15,0.55,1.87,2007
45,South,8,0.50,2.05,0.25,0.30,1.99,2007
46,South,7,0.65,2.30,0.25,0.50,1.51,2007
47,South,5,0.60,2.70,0.40,0.60,1.47,2007
48,South,8,0.60,2.85,0.30,0.50,1.79,2007
49,South,7,0.45,2.90,0.35,0.45,1.79,2007
50,South,8,0.50,3.15,0.50,0.40,1.86,2007
51,South,7,0.55,2.90,0.35,0.45,1.78,2007
52,South,5,0.55,3.60,0.55,0.40,1.23,2007
53,South,5,0.70,1.75,0.20,0.65,1.37,2007
54,South,7,0.70,2.15,0.15,0.65,1.99,2007
55,South,8,0.50,2.55,0.25,0.45,2.00,2007
56,South,8,0.55,3.10,0.30,0.30,1.82,2007
57,South,9,0.80,2.95,0.10,0.65,1.96,2007
58,South,8,0.45,3.20,0.35,0.35,1.93,2007
59,South,7,0.70,2.75,0.35,0.35,1.76,2007
60,South,8,0.55,3.20,0.27,0.33,1.84,2007
61,South,6,0.68,2.58,0.37,0.42,1.50,2007
62,South,7,0.50,2.70,0.20,0.55,1.76,2007
63,South,9,0.55,2.50,0.20,0.30,2.02,2007
64,South,8,0.50,3.20,0.25,0.35,1.95,2007
65,South,7,0.55,2.95,0.30,0.40,1.83,2007
66,South,8,0.30,4.90,0.65,0.15,1.65,2007
67,South,7,0.56,2.50,0.17,0.50,1.74,2007
68,South,7,0.50,3.55,0.30,0.45,1.80,2007
1,North,6,0.15,5.50,0.40,0.00,1.72,2195
2,North,5,0.55,4.55,0.65,0.00,1.30,2195
3,North,5,0.25,5.05,0.50,0.05,1.50,2195
4,North,7,0.40,5.20,0.40,0.15,1.82,2195
5,North,7,0.48,5.00,0.42,0.10,1.62,2195
6,North,7,0.25,5.50,0.45,0.05,1.81,2195
7,North,7,0.26,5.15,0.34,0.03,1.76,2195
8,North,7,0.32,4.84,0.53,0.21,1.22,2195
9,North,7,0.35,5.05,0.60,0.05,1.67,2195
10,North,8,0.20,5.10,0.35,0.10,1.99,2195
11,North,8,0.35,4.85,0.60,0.15,1.78,2195
12,North,7,0.36,5.12,0.56,0.04,1.65,2195
13,North,5,0.32,5.32,0.53,0.00,1.55,2195
14,North,7,0.27,5.40,0.43,0.03,1.76,2195
15,North,5,0.05,6.10,0.65,0.00,1.15,2195
16,North,7,0.30,5.25,0.55,0.05,1.75,2195
17,North,6,0.40,4.60,0.65,0.05,1.53,2195
18,North,7,0.35,5.05,0.50,0.05,1.77,2195
19,North,6,0.25,5.45,0.65,0.05,1.56,2195
20,North,6,0.30,5.10,0.60,0.05,1.37,2195
21,North,7,0.20,4.80,0.50,0.15,1.78,2195
22,North,8,0.30,4.20,0.35,0.20,1.97,2195
23,North,7,0.39,5.33,0.56,0.06,1.76,2195
24,North,6,0.40,5.00,0.75,0.00,1.46,2195
25,North,9,0.50,4.25,0.45,0.10,1.96,2195
26,North,8,0.35,4.90,0.40,0.15,1.90,2195
27,North,7,0.20,5.20,0.55,0.15,1.71,2195
28,North,6,0.35,5.09,0.61,0.04,1.56,2195
29,North,6,0.40,5.00,0.50,0.15,1.62,2195
30,North,6,0.29,5.42,0.54,0.00,1.63,2195
31,North,8,0.50,4.65,0.70,0.05,1.57,2195
32,North,7,0.27,5.14,0.54,0.09,1.77,2195
33,North,6,0.40,4.95,0.75,0.00,1.41,2195
34,North,8,0.25,5.30,0.55,0.05,1.94,2195
35,North,6,0.43,5.36,0.50,0.07,1.63,2195
36,North,6,0.33,5.07,0.60,0.13,1.59,2195
37,North,7,0.47,4.80,0.60,0.07,1.62,2195
38,North,5,0.36,5.57,0.50,0.00,1.53,2195
39,North,6,0.33,4.93,0.53,0.07,1.64,2195
40,North,6,0.40,5.07,0.73,0.07,1.45,2195
41,North,6,0.21,5.07,0.43,0.00,1.73,2195
42,North,6,0.14,5.57,0.50,0.07,1.63,2195
43,North,7,0.30,5.05,0.55,0.10,1.75,2195
44,North,5,0.35,5.35,0.60,0.00,1.50,2195
45,North,7,0.30,5.05,0.55,0.10,1.74,2195
46,North,6,0.35,5.10,0.60,0.05,1.59,2195
47,North,8,0.55,4.25,0.60,0.10,1.64,2195
48,North,7,0.35,5.10,0.55,0.05,1.68,2195
49,North,5,0.30,5.55,0.55,0.00,1.58,2195
50,North,7,0.14,5.48,0.35,0.10,1.66,2195
51,North,6,0.30,5.17,0.52,0.00,1.90,2195
52,North,7,0.40,5.00,0.55,0.05,1.73,2195
53,North,7,0.20,5.55,0.50,0.10,1.76,2195
54,North,7,0.35,4.85,0.55,0.05,1.72,2195
55,North,6,0.35,4.95,0.50,0.00,1.67,2195
56,North,6,0.29,4.96,0.71,0.08,1.53,2195
57,North,8,0.52,4.62,0.57,0.00,1.68,2195
58,North,6,0.37,4.11,0.32,0.26,1.68,2195
1,South,7,0.55,3.35,0.35,0.35,1.86,2195
2,South,7,0.65,3.15,0.35,0.45,1.64,2195
3,South,7,0.65,3.35,0.35,0.15,1.64,2195
4,South,6,0.45,3.70,0.20,0.40,1.65,2195
5,South,7,0.58,2.60,0.25,0.54,1.68,2195
6,South,6,0.55,3.40,0.45,0.20,1.68,2195
7,South,9,0.39,3.09,0.35,0.13,2.00,2195
8,South,9,0.48,2.81,0.14,0.33,2.07,2195
9,South,7,0.45,2.90,0.30,0.40,1.90,2195
10,South,7,0.70,2.65,0.30,0.50,1.59,2195
11,South,7,0.67,2.71,0.38,0.33,1.75,2195
12,South,9,0.55,2.80,0.30,0.40,2.04,2195
13,South,7,0.57,3.19,0.43,0.38,1.75,2195
14,South,8,0.33,2.92,0.29,0.29,1.94,2195
15,South,8,0.67,2.71,0.24,0.48,2.43,2195
16,South,7,0.60,3.00,0.35,0.30,1.82,2195
17,South,6,0.60,3.20,0.40,0.35,1.62,2195
18,South,8,0.60,3.20,0.35,0.40,1.74,2195
19,South,7,0.50,2.90,0.25,0.50,1.77,2195
20,South,6,0.60,3.20,0.40,0.40,1.54,2195
21,South,8,0.65,3.30,0.35,0.40,1.78,2195
22,South,10,0.50,3.35,0.25,0.35,2.11,2195
23,South,7,0.48,3.62,0.33,0.48,1.80,2195
24,South,8,0.43,3.43,0.38,0.38,1.91,2195
25,South,9,0.43,3.67,0.38,0.24,2.06,2195
26,South,6,0.50,3.20,0.30,0.30,1.60,2195
27,South,6,0.65,2.95,0.40,0.40,1.66,2195
28,South,8,0.55,2.80,0.25,0.45,1.86,2195
29,South,6,0.60,3.20,0.50,0.20,1.32,2195
30,South,7,0.45,2.90,0.25,0.40,1.86,2195
31,South,5,0.60,2.70,0.30,0.60,1.44,2195
32,South,8,0.40,3.40,0.20,0.40,1.97,2195
33,South,6,0.55,3.05,0.35,0.40,1.63,2195
34,South,8,0.55,3.15,0.35,0.30,1.88,2195
35,South,8,0.56,2.44,0.25,0.44,1.91,2195
36,South,7,0.40,3.60,0.33,0.40,1.86,2195
37,South,7,0.56,3.06,0.38,0.31,1.87,2195
38,South,7,0.60,2.93,0.33,0.33,1.84,2195
39,South,7,0.40,3.00,0.27,0.47,1.86,2195
40,South,7,0.57,3.21,0.29,0.36,1.85,2195
41,South,6,0.53,3.00,0.33,0.47,1.67,2195
42,South,8,0.53,3.13,0.33,0.33,1.93,2195
43,South,8,0.55,2.90,0.30,0.35,1.83,2195
44,South,6,0.63,3.04,0.38,0.38,1.64,2195
45,South,8,0.55,2.90,0.50,0.30,1.90,2195
46,South,7,0.52,3.19,0.33,0.33,1.85,2195
47,South,9,0.55,2.55,0.15,0.55,1.95,2195
48,South,8,0.66,2.38,0.24,0.38,1.81,2195
49,South,8,0.52,3.04,0.38,0.38,2.13,2195
50,South,8,0.43,3.62,0.38,0.24,1.99,2195
51,South,7,0.60,2.55,0.35,0.20,1.39,2195
52,South,7,0.60,3.10,0.40,0.50,1.53,2195
53,South,7,0.40,3.65,0.35,0.40,2.06,2195
54,South,7,0.60,2.95,0.35,0.50,1.66,2195
55,South,9,0.38,3.43,0.24,0.24,2.03,2195
56,South,10,0.56,3.12,0.36,0.44,1.96,2195
57,South,9,0.89,3.42,0.34,0.34,2.02,2195
58,South,9,0.40,2.90,0.20,0.35,2.09,2195
