Group,Fork,Richness,EPT,FBI,Filters,Predators,Shannon,Room
14,South,6,0.50,3.30,0.40,0.40,1.64,2005
15,South,8,0.40,3.00,0.10,0.30,2.03,2005
16,South,6,0.60,3.20,0.30,0.40,1.61,2005
17,South,6,0.50,2.50,0.10,0.30,1.64,2005
18,South,6,0.67,2.11,0.11,0.56,1.58,2005
19,South,5,0.40,3.40,0.30,0.40,1.50,2005
20,South,5,0.60,3.10,0.40,0.50,1.50,2005
21,South,6,0.33,2.44,0.11,0.56,1.74,2005
22,South,5,0.40,4.00,0.60,0.30,1.50,2005
23,South,4,0.60,4.00,0.70,0.20,1.28,2005
24,South,5,0.67,2.44,0.22,0.56,1.43,2005
25,South,7,0.40,2.70,0.10,0.40,1.83,2005
26,South,9,0.48,2.84,0.20,0.48,2.00,2005
27,South,7,0.60,2.80,0.32,0.44,1.71,2005
28,South,9,0.41,3.07,0.31,0.35,2.04,2005
29,South,10,0.41,3.07,0.28,0.38,2.43,2005
30,South,8,0.52,3.30,0.41,0.38,1.85,2005
31,South,7,0.56,3.16,0.40,0.28,1.80,2005
32,South,8,0.52,3.15,0.30,0.44,1.81,2005
33,South,9,0.56,2.56,0.24,0.48,1.88,2005
34,South,9,0.48,2.88,0.28,0.44,1.96,2005
35,South,8,0.58,2.46,0.21,0.54,1.77,2005
36,South,10,0.48,2.96,0.44,0.36,2.08,2005
37,South,9,0.57,2.70,0.26,0.44,2.42,2005
38,South,9,0.56,3.08,0.36,0.36,1.96,2005
39,South,9,0.55,2.55,0.23,0.45,1.97,2005
40,South,9,0.56,3.12,0.36,0.36,1.98,2005
41,South,9,0.36,3.28,0.40,0.32,1.93,2005
42,South,5,0.56,3.20,0.44,0.56,1.48,2005
43,South,8,0.72,2.52,0.24,0.28,1.73,2005
44,South,8,0.60,3.08,0.44,0.32,1.88,2005
45,South,9,0.44,3.40,0.32,0.32,1.82,2005
46,South,8,0.50,3.00,0.36,0.32,1.92,2005
47,South,8,0.40,3.36,0.40,0.24,1.99,2005
48,South,11,0.60,3.04,0.28,0.12,2.06,2005
49,South,8,0.64,2.64,0.28,0.44,1.79,2005
50,South,7,0.40,3.24,0.40,0.40,1.75,2005
51,South,6,0.56,3.16,0.44,0.44,1.49,2005
52,South,6,0.60,2.88,0.40,0.48,1.61,2005
53,South,11,0.42,2.81,0.35,0.23,2.21,2005
54,South,10,0.63,2.67,0.26,0.37,1.94,2005
55,South,8,0.68,2.60,0.16,0.52,1.72,2005
56,South,7,0.52,2.80,0.24,0.28,2.14,2005
57,South,8,0.56,2.72,0.28,0.44,1.84,2005
58,South,8,0.60,2.60,0.28,0.36,1.95,2005
59,South,9,0.56,3.04,0.40,0.44,1.85,2005
60,South,8,0.52,3.08,0.40,0.36,1.85,2005
61,South,9,0.50,2.50,0.19,0.42,2.01,2005
62,South,7,0.56,2.20,0.16,0.44,1.83,2005
63,South,8,0.56,3.28,0.48,0.36,1.86,2005
64,South,9,0.24,2.72,0.40,0.16,1.99,2005
65,South,8,0.77,1.90,0.45,0.18,1.66,2005
1,North,7,0.28,5.56,0.60,0.00,1.60,2007
2,North,8,0.32,5.12,0.60,0.04,1.80,2007
3,North,7,0.38,4.75,0.58,0.04,1.02,2007
4,North,6,0.36,4.88,0.56,0.08,1.74,2007
5,North,8,0.44,5.16,0.52,0.08,1.73,2007
6,North,6,0.40,4.48,0.40,0.12,1.86,2007
7,North,8,0.36,4.88,0.24,0.44,1.72,2007
8,North,7,0.21,4.75,0.33,0.17,1.74,2007
9,North,5,0.40,5.20,0.60,0.00,1.48,2007
10,North,8,0.36,5.44,0.60,0.04,1.76,2007
11,North,7,0.20,5.56,0.52,0.04,1.75,2007
12,North,6,0.28,5.44,0.60,0.12,1.61,2007
13,North,6,0.40,5.28,0.72,0.04,1.45,2007
14,North,7,0.36,4.68,0.52,0.12,1.74,2007
15,North,8,0.32,4.48,0.44,0.16,1.94,2007
16,North,6,0.36,5.04,0.52,0.00,1.60,2007
17,North,7,0.18,5.52,0.48,0.12,1.96,2007
18,North,6,0.44,3.88,0.20,0.44,1.52,2007
19,North,8,0.32,4.32,0.40,0.16,1.83,2007
20,North,8,0.28,4.12,0.20,0.28,1.93,2007
21,North,7,0.24,4.40,0.30,0.40,1.70,2007
22,North,6,0.08,5.48,0.36,0.20,1.72,2007
23,North,7,0.36,4.80,0.52,0.12,1.55,2007
24,North,7,0.32,5.32,0.44,0.04,1.65,2007
25,North,7,0.36,5.20,0.48,0.04,1.77,2007
26,North,7,0.40,5.48,0.60,0.04,1.68,2007
27,North,6,0.32,5.16,0.56,0.00,1.60,2007
28,North,7,0.40,4.96,0.60,0.04,1.68,2007
29,North,7,0.28,5.32,0.48,0.04,1.77,2007
30,North,9,0.44,4.56,0.08,0.04,1.91,2007
31,North,8,0.32,4.92,0.60,0.04,1.75,2007
32,North,6,0.32,3.08,0.00,0.36,1.45,2007
33,North,7,0.33,4.67,0.58,0.04,1.67,2007
34,North,8,0.28,4.40,0.24,0.32,1.81,2007
35,North,8,0.20,4.68,0.36,0.04,1.90,2007
36,North,6,0.44,4.64,0.56,0.00,1.55,2007
37,North,5,0.00,4.28,0.00,0.00,1.21,2007
38,North,8,0.28,4.92,0.52,0.04,1.79,2007
39,North,7,0.40,5.08,0.60,0.16,1.36,2007
40,North,9,0.36,4.72,0.12,0.08,1.98,2007
41,North,7,0.16,5.32,0.52,0.12,1.41,2007
42,North,8,0.39,5.03,0.55,0.03,1.74,2007
43,North,7,0.40,5.08,0.60,0.16,1.36,2007
44,North,6,0.32,5.16,0.64,0.00,1.56,2007
45,North,9,0.36,4.72,0.12,0.08,1.98,2007
46,North,7,0.24,5.24,0.40,0.08,1.88,2007
47,North,7,0.28,5.09,0.40,0.04,1.85,2007
48,North,9,0.40,4.84,0.60,0.08,1.89,2007
49,North,6,0.32,5.08,0.48,0.08,1.70,2007
50,North,6,0.28,3.72,0.52,0.04,1.64,2007
51,North,8,0.28,5.08,0.48,0.04,1.90,2007
52,North,8,0.44,4.92,0.68,0.00,1.75,2007
53,North,8,0.40,5.00,0.72,0.04,1.64,2007
54,North,7,0.25,4.71,0.46,0.04,1.77,2007
55,North,6,0.44,4.88,0.60,0.00,1.53,2007
56,North,9,0.25,5.13,0.29,0.21,2.02,2007
57,North,5,0.32,5.76,0.52,0.00,1.52,2007
58,North,7,0.44,5.12,0.56,0.04,1.67,2007
59,North,7,0.33,5.23,0.53,0.03,1.69,2007
1,South,8,0.66,2.95,0.50,0.21,1.69,2007
2,South,8,0.48,2.36,0.12,0.40,2.00,2007
3,South,7,0.48,3.08,0.32,0.52,1.74,2007
4,South,7,0.64,2.88,0.36,0.32,1.82,2007
5,South,8,0.52,3.64,0.32,0.28,1.90,2007
6,South,8,0.52,3.65,0.32,0.28,1.90,2007
7,South,10,0.52,3.56,0.36,0.36,2.05,2007
8,South,7,0.52,2.96,0.32,0.36,1.88,2007
9,South,7,0.55,2.90,0.28,0.41,1.75,2007
10,South,8,0.48,3.24,0.24,0.24,1.90,2007
11,South,9,0.32,3.24,0.08,0.32,1.93,2007
12,South,10,0.56,3.24,0.36,0.36,1.97,2007
13,South,8,0.52,3.16,0.36,0.40,1.89,2007
14,South,8,0.60,3.00,0.32,0.48,1.80,2007
15,South,8,0.60,3.08,0.28,0.40,1.91,2007
16,South,7,0.64,3.04,0.36,0.40,1.78,2007
17,South,8,0.56,2.84,0.28,0.36,1.91,2007
18,South,6,0.64,3.36,0.48,0.40,1.56,2007
19,South,7,0.48,2.64,0.28,0.48,1.75,2007
20,South,8,0.44,3.52,0.46,0.32,1.91,2007
21,South,10,0.48,3.24,0.20,0.40,2.04,2007
22,South,8,0.52,3.07,0.37,0.33,1.92,2007
23,South,6,0.52,2.72,0.28,0.32,1.59,2007
24,South,6,0.64,2.76,0.32,0.48,1.55,2007
25,South,9,0.44,2.76,0.24,0.40,2.04,2007
26,South,8,0.56,3.36,0.28,0.16,1.86,2007
27,South,8,0.44,3.48,0.28,0.16,1.98,2007
28,South,8,0.56,2.56,0.24,0.48,1.90,2007
29,South,8,0.52,3.60,0.32,0.28,1.87,2007
30,South,6,0.44,3.20,0.08,0.32,1.67,2007
31,South,8,0.59,3.22,0.41,0.26,1.86,2007
32,South,6,0.76,2.16,0.00,0.60,1.24,2007
33,South,9,0.52,3.36,0.40,0.16,2.06,2007
34,South,8,0.52,3.16,0.20,0.44,1.88,2007
35,South,9,0.35,2.96,0.19,0.31,2.00,2007
36,South,7,0.60,2.84,0.40,0.36,1.78,2007
37,South,9,0.41,2.11,0.26,0.29,1.87,2007
38,South,9,0.68,2.96,0.40,0.36,1.88,2007
39,South,9,0.68,2.96,0.40,0.36,1.88,2007
40,South,8,0.48,3.48,0.40,0.16,1.89,2007
41,South,8,0.40,3.32,0.04,0.12,2.31,2007
42,South,8,0.40,3.32,0.04,0.12,2.31,2007
43,South,9,0.48,2.88,0.24,0.48,2.00,2007
44,South,6,0.60,3.04,0.36,0.44,1.60,2007
45,South,8,0.60,2.56,0.24,0.48,1.73,2007
46,South,6,0.60,3.04,0.36,0.44,1.60,2007
47,South,9,0.60,3.08,0.32,0.44,1.86,2007
48,South,5,0.68,2.56,0.28,0.60,1.11,2007
49,South,6,0.56,2.60,0.20,0.44,1.72,2007
50,South,7,0.52,2.68,0.16,0.20,1.81,2007
51,South,8,0.56,2.32,0.12,0.32,1.89,2007
52,South,7,0.56,3.08,0.36,0.36,1.85,2007
53,South,9,0.52,2.64,0.24,0.52,1.92,2007
54,South,9,0.52,3.16,0.28,0.40,2.06,2007
55,South,7,0.52,3.12,0.40,0.44,1.99,2007
56,South,9,0.54,3.17,0.24,0.42,1.99,2007
57,South,8,0.63,2.71,0.33,0.38,1.89,2007
58,South,8,0.58,3.15,0.38,0.27,1.93,2007
59,South,8,0.50,3.15,0.30,0.25,1.92,2007
1,North,6,0.36,5.72,0.56,0.00,1.59,2195
2,North,8,0.44,5.64,0.56,0.04,1.68,2195
3,North,8,0.34,5.17,0.48,0.03,1.79,2195
4,North,7,0.28,5.46,0.50,0.04,1.77,2195
5,North,8,0.20,5.44,0.48,0.04,1.90,2195
6,North,6,0.30,5.73,0.61,0.00,1.55,2195
7,North,6,0.32,5.24,0.52,0.04,1.63,2195
8,North,6,0.48,5.14,0.45,0.00,1.50,2195
9,North,6,0.28,5.96,0.48,0.00,1.59,2195
10,North,5,0.32,5.64,0.56,0.00,1.54,2195
11,North,7,0.24,5.80,0.56,0.04,1.79,2195
12,North,7,0.36,5.20,0.52,0.00,1.70,2195
13,North,7,0.36,5.64,0.52,0.00,1.68,2195
14,North,5,0.40,5.80,0.40,0.00,1.42,2195
15,North,8,0.28,5.08,0.36,0.24,1.94,2195
16,North,7,0.32,5.48,0.52,0.04,1.73,2195
17,North,6,0.44,5.78,0.22,0.00,1.56,2195
18,North,7,0.25,5.11,0.39,0.00,1.62,2195
19,North,6,0.28,5.52,0.48,0.04,1.68,2195
20,North,6,0.45,5.50,0.00,0.04,1.58,2195
21,North,5,0.38,5.46,0.63,0.00,1.48,2195
22,North,7,0.28,4.92,0.28,0.24,1.76,2195
23,North,7,0.28,4.92,0.28,0.24,1.76,2195
24,North,9,0.36,3.68,0.20,0.04,1.92,2195
25,North,7,0.44,4.84,0.32,0.20,1.77,2195
26,North,7,0.24,5.96,0.40,0.04,1.76,2195
27,North,6,0.24,5.12,0.24,0.24,1.61,2195
28,North,7,0.28,4.92,0.28,0.24,1.76,2195
29,North,7,0.28,5.72,0.60,0.00,1.70,2195
30,North,8,0.28,4.88,0.40,0.08,2.30,2195
31,North,6,0.44,5.60,0.48,0.04,1.48,2195
32,North,8,0.28,4.44,0.40,0.04,1.94,2195
33,North,6,0.32,4.60,0.28,0.32,1.52,2195
34,North,6,0.24,6.40,0.36,0.00,1.71,2195
35,North,7,0.32,5.60,0.68,0.00,1.62,2195
36,North,7,0.36,5.04,0.44,0.00,1.76,2195
37,North,6,0.38,5.38,0.42,0.00,1.54,2195
38,North,10,0.32,4.93,0.49,0.09,1.81,2195
39,North,8,0.25,5.29,0.50,0.00,1.92,2195
40,North,7,0.36,5.36,0.40,0.06,1.68,2195
41,North,6,0.33,4.74,0.37,0.04,1.48,2195
42,North,5,0.20,4.00,0.32,0.00,1.00,2195
43,North,6,0.36,4.28,0.36,0.04,1.51,2195
1,South,7,0.58,3.00,0.31,0.50,1.68,2195
2,South,9,0.64,2.84,0.40,0.32,1.88,2195
3,South,8,0.36,2.52,0.08,0.68,1.76,2195
4,South,9,0.64,2.79,0.29,0.46,1.80,2195
5,South,9,0.56,2.88,0.36,0.36,1.95,2195
6,South,8,0.57,3.50,0.31,0.38,1.79,2195
7,South,9,0.52,2.88,0.36,0.36,1.96,2195
8,South,8,0.52,3.36,0.40,0.28,1.90,2195
9,South,9,0.62,2.17,0.21,0.52,1.88,2195
10,South,8,0.64,2.32,0.20,0.52,1.79,2195
11,South,7,0.56,3.04,0.32,0.48,1.71,2195
12,South,8,0.60,2.72,0.32,0.48,1.80,2195
13,South,8,0.68,3.12,0.28,0.08,1.63,2195
14,South,8,0.52,3.00,0.36,0.40,1.89,2195
15,South,9,0.65,2.65,0.30,0.30,1.62,2195
16,South,10,0.48,3.48,0.32,0.20,2.09,2195
17,South,9,0.40,3.16,0.28,0.44,1.97,2195
18,South,9,0.48,2.60,0.20,0.44,2.38,2195
19,South,9,0.52,3.28,0.20,0.36,2.06,2195
20,South,6,0.61,2.39,0.04,0.56,1.30,2195
21,South,7,0.44,3.08,0.24,0.44,1.81,2195
22,South,8,0.56,3.00,0.24,0.36,1.78,2195
23,South,8,0.56,3.00,0.24,0.36,1.78,2195
24,South,8,0.64,2.32,0.12,0.52,1.38,2195
25,South,5,0.68,3.12,0.52,0.44,1.32,2195
26,South,8,0.60,2.76,0.40,0.36,1.83,2195
27,South,8,0.60,2.60,0.20,0.56,1.32,2195
28,South,8,0.56,3.00,0.24,0.36,1.78,2195
29,South,8,0.40,2.68,0.08,0.40,1.79,2195
30,South,8,0.48,3.08,0.24,0.44,1.30,2195
31,South,9,0.56,2.96,0.36,0.36,2.01,2195
32,South,9,0.56,2.96,0.36,0.36,2.01,2195
33,South,9,0.52,2.68,0.16,0.52,1.96,2195
34,South,9,0.48,3.40,0.28,0.44,1.99,2195
35,South,6,0.68,2.76,0.40,0.56,1.51,2195
36,South,9,0.48,3.40,0.28,0.44,1.99,2195
37,South,7,0.72,2.68,0.40,0.52,1.52,2195
38,South,10,0.52,3.05,0.20,0.44,1.95,2195
39,South,5,0.63,2.69,0.25,0.52,1.43,2195
40,South,5,0.68,3.04,0.46,0.35,1.34,2195
41,South,5,0.70,2.43,0.28,0.13,1.41,2195
42,South,7,0.58,2.94,0.67,0.33,1.37,2195
43,South,5,0.75,2.17,0.08,0.50,1.27,2195
