Group,Fork,Richness,EPT,FBI,Filters,Predators,Shannon,Room,Section
31,North,7,0.45,5.05,0.50,0.05,1.59,2007,222
32,North,7,0.35,5.55,0.55,0.05,1.25,2007,222
33,North,9,0.25,5.50,0.40,0.15,2.35,2007,222
34,North,6,0.20,5.70,0.40,0.00,1.85,2007,222
35,North,6,0.30,5.90,0.55,0.00,1.64,2007,312
36,North,8,0.20,5.20,0.60,0.05,1.81,2007,312
37,North,5,0.35,5.40,0.50,0.00,1.54,2007,312
38,North,6,0.25,5.80,0.45,0.00,1.69,2007,312
39,North,5,0.25,5.65,0.45,0.00,1.60,2007,312
40,North,8,0.45,6.05,0.80,0.05,1.76,2007,312
41,North,7,0.40,5.63,0.55,0.05,1.63,2007,312
42,North,6,0.35,5.95,0.55,0.00,1.58,2007,312
43,North,8,0.30,5.15,0.55,0.00,1.88,2007,312
44,North,7,0.25,5.80,0.60,0.00,1.74,2007,322
45,North,7,0.20,5.90,0.50,0.00,1.80,2007,322
46,North,7,0.40,5.50,0.65,0.00,1.61,2007,322
47,North,5,0.24,6.10,0.43,0.00,1.56,2007,322
48,North,6,0.40,5.00,0.75,0.05,1.42,2007,322
49,North,6,0.30,6.35,0.50,0.00,1.64,2007,322
50,North,7,0.30,4.70,0.40,0.05,1.71,2007,322
51,North,6,0.35,5.65,0.45,0.00,1.57,2007,322
52,North,6,0.30,5.60,0.60,0.00,1.65,2007,322
53,North,5,0.36,5.50,0.59,0.00,1.49,2007,412
54,North,7,0.40,5.10,0.65,0.05,1.65,2007,412
55,North,6,0.35,5.70,0.65,0.00,1.54,2007,412
56,North,7,0.26,5.68,0.42,0.05,1.78,2007,412
57,North,8,0.45,4.05,0.45,0.15,1.94,2007,412
58,North,6,0.37,5.00,0.47,0.00,1.67,2007,412
59,North,6,0.25,6.00,0.30,0.00,1.62,2007,412
60,North,5,0.37,5.26,0.63,0.00,1.44,2007,412
61,North,8,0.40,4.65,0.50,0.15,1.87,2007,422
62,North,8,0.32,4.42,0.37,0.05,1.79,2007,422
63,North,6,0.33,5.28,0.56,0.00,1.60,2007,422
64,North,9,0.37,4.58,0.37,0.11,2.00,2007,422
65,North,6,0.50,4.93,0.50,0.07,1.44,2007,422
66,North,7,0.57,2.70,0.26,0.42,1.85,2007,422
67,North,6,0.42,4.90,0.58,0.00,1.58,2007,422
68,North,7,0.30,5.15,0.65,0.10,1.64,2007,422
1,South,6,0.60,2.00,0.15,0.65,1.69,2007,112
2,South,4,0.75,3.15,0.55,0.45,1.25,2007,112
3,South,8,0.70,1.55,0.10,0.65,1.78,2007,112
4,South,7,0.70,2.85,0.30,0.55,1.50,2007,112
5,South,8,0.55,2.60,0.25,0.45,1.87,2007,112
6,South,7,0.65,2.50,0.35,0.55,1.70,2007,112
7,South,7,0.35,2.86,0.25,0.55,1.80,2007,112
8,South,7,0.40,3.75,0.50,0.35,2.14,2007,112
9,South,8,0.60,2.80,0.40,0.45,1.82,2007,122
10,South,8,0.30,3.50,0.50,0.20,1.90,2007,122
11,South,6,0.55,3.05,0.40,0.50,1.65,2007,122
12,South,8,0.60,2.35,0.20,0.45,1.87,2007,122
13,South,9,0.55,3.25,0.40,0.40,1.96,2007,122
14,South,8,0.50,3.05,0.30,0.40,1.83,2007,122
15,South,7,0.50,2.85,0.30,0.55,1.80,2007,122
16,South,7,0.30,2.40,0.25,0.55,1.82,2007,122
17,South,8,0.55,2.20,0.25,0.55,1.88,2007,212
18,South,8,0.55,2.70,0.35,0.45,1.92,2007,212
19,South,6,0.65,2.95,0.35,0.35,1.56,2007,212
20,South,8,0.44,2.55,0.25,0.50,1.84,2007,212
21,South,7,0.60,2.65,0.30,0.50,1.71,2007,212
22,South,7,0.65,2.95,0.40,0.40,1.89,2007,212
23,South,7,0.60,2.65,0.30,0.50,1.71,2007,212
24,South,7,0.35,3.05,0.25,0.40,1.86,2007,212
25,South,6,0.55,3.35,0.45,0.40,1.64,2007,212
26,South,10,0.58,3.50,0.46,0.38,1.94,2007,222
27,South,6,0.60,2.92,0.40,0.44,1.59,2007,222
28,South,9,0.55,2.60,0.38,0.25,1.16,2007,222
29,South,7,0.53,2.70,0.33,0.47,1.83,2007,222
30,South,7,0.55,2.85,0.35,0.50,1.90,2007,222
31,South,7,0.65,2.75,0.30,0.45,1.62,2007,222
32,South,8,0.45,3.20,0.30,0.45,1.94,2007,222
33,South,8,0.50,2.65,0.25,0.50,2.00,2007,222
34,South,8,0.27,2.70,0.37,0.50,2.34,2007,222
35,South,7,0.60,2.60,0.25,0.45,1.78,2007,312
36,South,8,0.50,3.00,0.35,0.45,1.93,2007,312
37,South,7,0.75,2.55,0.35,0.40,1.64,2007,312
38,South,7,0.45,3.40,0.45,0.40,1.75,2007,312
39,South,7,0.55,2.90,0.25,0.45,1.72,2007,312
40,South,8,0.50,3.60,0.40,0.40,1.90,2007,312
41,South,7,0.50,2.55,0.20,0.55,1.78,2007,312
42,South,7,0.65,2.05,0.20,0.50,1.74,2007,312
43,South,8,0.65,2.25,0.30,0.50,1.75,2007,312
44,South,8,0.45,2.60,0.15,0.55,1.87,2007,322
45,South,8,0.50,2.05,0.25,0.30,1.99,2007,322
46,South,7,0.65,2.30,0.25,0.50,1.51,2007,322
47,South,5,0.60,2.70,0.40,0.60,1.47,2007,322
48,South,8,0.60,2.85,0.30,0.50,1.79,2007,322
49,South,7,0.45,2.90,0.35,0.45,1.79,2007,322
50,South,8,0.50,3.15,0.50,0.40,1.86,2007,322
51,South,7,0.55,2.90,0.35,0.45,1.78,2007,322
52,South,5,0.55,3.60,0.55,0.40,1.23,2007,322
53,South,5,0.70,1.75,0.20,0.65,1.37,2007,412
54,South,7,0.70,2.15,0.15,0.65,1.99,2007,412
55,South,8,0.50,2.55,0.25,0.45,2.00,2007,412
56,South,8,0.55,3.10,0.30,0.30,1.82,2007,412
57,South,9,0.80,2.95,0.10,0.65,1.96,2007,412
58,South,8,0.45,3.20,0.35,0.35,1.93,2007,412
59,South,7,0.70,2.75,0.35,0.35,1.76,2007,412
60,South,8,0.55,3.20,0.27,0.33,1.84,2007,412
61,South,6,0.68,2.58,0.37,0.42,1.50,2007,422
62,South,7,0.50,2.70,0.20,0.55,1.76,2007,422
63,South,9,0.55,2.50,0.20,0.30,2.02,2007,422
64,South,8,0.50,3.20,0.25,0.35,1.95,2007,422
65,South,7,0.55,2.95,0.30,0.40,1.83,2007,422
66,South,8,0.30,4.90,0.65,0.15,1.65,2007,422
67,South,7,0.56,2.50,0.17,0.50,1.74,2007,422
68,South,7,0.50,3.55,0.30,0.45,1.80,2007,422
1,North,6,0.15,5.50,0.40,0.00,1.72,2195,113
2,North,5,0.55,4.55,0.65,0.00,1.30,2195,113
3,North,5,0.25,5.05,0.50,0.05,1.50,2195,113
4,North,7,0.40,5.20,0.40,0.15,1.82,2195,113
5,North,7,0.48,5.00,0.42,0.10,1.62,2195,113
6,North,7,0.25,5.50,0.45,0.05,1.81,2195,113
7,North,7,0.26,5.15,0.34,0.03,1.76,2195,113
8,North,7,0.32,4.84,0.53,0.21,1.22,2195,113
9,North,7,0.35,5.05,0.60,0.05,1.67,2195,123
10,North,8,0.20,5.10,0.35,0.10,1.99,2195,123
11,North,8,0.35,4.85,0.60,0.15,1.78,2195,123
12,North,7,0.36,5.12,0.56,0.04,1.65,2195,123
13,North,5,0.32,5.32,0.53,0.00,1.55,2195,123
14,North,7,0.27,5.40,0.43,0.03,1.76,2195,123
15,North,5,0.05,6.10,0.65,0.00,1.15,2195,123
16,North,7,0.30,5.25,0.55,0.05,1.75,2195,123
17,North,6,0.40,4.60,0.65,0.05,1.53,2195,123
18,North,7,0.35,5.05,0.50,0.05,1.77,2195,213
19,North,6,0.25,5.45,0.65,0.05,1.56,2195,213
20,North,6,0.30,5.10,0.60,0.05,1.37,2195,213
21,North,7,0.20,4.80,0.50,0.15,1.78,2195,213
22,North,8,0.30,4.20,0.35,0.20,1.97,2195,213
23,North,7,0.39,5.33,0.56,0.06,1.76,2195,213
24,North,6,0.40,5.00,0.75,0.00,1.46,2195,213
25,North,9,0.50,4.25,0.45,0.10,1.96,2195,213
26,North,8,0.35,4.90,0.40,0.15,1.90,2195,223
27,North,7,0.20,5.20,0.55,0.15,1.71,2195,223
28,North,6,0.35,5.09,0.61,0.04,1.56,2195,223
29,North,6,0.40,5.00,0.50,0.15,1.62,2195,223
30,North,6,0.29,5.42,0.54,0.00,1.63,2195,223
31,North,8,0.50,4.65,0.70,0.05,1.57,2195,223
32,North,7,0.27,5.14,0.54,0.09,1.77,2195,223
33,North,6,0.40,4.95,0.75,0.00,1.41,2195,223
34,North,8,0.25,5.30,0.55,0.05,1.94,2195,223
35,North,6,0.43,5.36,0.50,0.07,1.63,2195,323
36,North,6,0.33,5.07,0.60,0.13,1.59,2195,323
37,North,7,0.47,4.80,0.60,0.07,1.62,2195,323
38,North,5,0.36,5.57,0.50,0.00,1.53,2195,323
39,North,6,0.33,4.93,0.53,0.07,1.64,2195,323
40,North,6,0.40,5.07,0.73,0.07,1.45,2195,323
41,North,6,0.21,5.07,0.43,0.00,1.73,2195,323
42,North,6,0.14,5.57,0.50,0.07,1.63,2195,323
43,North,7,0.30,5.05,0.55,0.10,1.75,2195,323
44,North,5,0.35,5.35,0.60,0.00,1.50,2195,413
45,North,7,0.30,5.05,0.55,0.10,1.74,2195,413
46,North,6,0.35,5.10,0.60,0.05,1.59,2195,413
47,North,8,0.55,4.25,0.60,0.10,1.64,2195,413
48,North,7,0.35,5.10,0.55,0.05,1.68,2195,413
49,North,5,0.30,5.55,0.55,0.00,1.58,2195,413
50,North,7,0.14,5.48,0.35,0.10,1.66,2195,413
51,North,6,0.30,5.17,0.52,0.00,1.90,2195,413
52,North,7,0.40,5.00,0.55,0.05,1.73,2195,513
53,North,7,0.20,5.55,0.50,0.10,1.76,2195,513
54,North,7,0.35,4.85,0.55,0.05,1.72,2195,513
55,North,6,0.35,4.95,0.50,0.00,1.67,2195,513
56,North,6,0.29,4.96,0.71,0.08,1.53,2195,513
57,North,8,0.52,4.62,0.57,0.00,1.68,2195,513
58,North,6,0.37,4.11,0.32,0.26,1.68,2195,513
1,South,7,0.55,3.35,0.35,0.35,1.86,2195,113
2,South,7,0.65,3.15,0.35,0.45,1.64,2195,113
3,South,7,0.65,3.35,0.35,0.15,1.64,2195,113
4,South,6,0.45,3.70,0.20,0.40,1.65,2195,113
5,South,7,0.58,2.60,0.25,0.54,1.68,2195,113
6,South,6,0.55,3.40,0.45,0.20,1.68,2195,113
7,South,9,0.39,3.09,0.35,0.13,2.00,2195,113
8,South,9,0.48,2.81,0.14,0.33,2.07,2195,113
9,South,7,0.45,2.90,0.30,0.40,1.90,2195,123
10,South,7,0.70,2.65,0.30,0.50,1.59,2195,123
11,South,7,0.67,2.71,0.38,0.33,1.75,2195,123
12,South,9,0.55,2.80,0.30,0.40,2.04,2195,123
13,South,7,0.57,3.19,0.43,0.38,1.75,2195,123
14,South,8,0.33,2.92,0.29,0.29,1.94,2195,123
15,South,8,0.67,2.71,0.24,0.48,2.43,2195,123
16,South,7,0.60,3.00,0.35,0.30,1.82,2195,123
17,South,6,0.60,3.20,0.40,0.35,1.62,2195,123
18,South,8,0.60,3.20,0.35,0.40,1.74,2195,213
19,South,7,0.50,2.90,0.25,0.50,1.77,2195,213
20,South,6,0.60,3.20,0.40,0.40,1.54,2195,213
21,South,8,0.65,3.30,0.35,0.40,1.78,2195,213
22,South,10,0.50,3.35,0.25,0.35,2.11,2195,213
23,South,7,0.48,3.62,0.33,0.48,1.80,2195,213
24,South,8,0.43,3.43,0.38,0.38,1.91,2195,213
25,South,9,0.43,3.67,0.38,0.24,2.06,2195,213
26,South,6,0.50,3.20,0.30,0.30,1.60,2195,223
27,South,6,0.65,2.95,0.40,0.40,1.66,2195,223
28,South,8,0.55,2.80,0.25,0.45,1.86,2195,223
29,South,6,0.60,3.20,0.50,0.20,1.32,2195,223
30,South,7,0.45,2.90,0.25,0.40,1.86,2195,223
31,South,5,0.60,2.70,0.30,0.60,1.44,2195,223
32,South,8,0.40,3.40,0.20,0.40,1.97,2195,223
33,South,6,0.55,3.05,0.35,0.40,1.63,2195,223
34,South,8,0.55,3.15,0.35,0.30,1.88,2195,223
35,South,8,0.56,2.44,0.25,0.44,1.91,2195,323
36,South,7,0.40,3.60,0.33,0.40,1.86,2195,323
37,South,7,0.56,3.06,0.38,0.31,1.87,2195,323
38,South,7,0.60,2.93,0.33,0.33,1.84,2195,323
39,South,7,0.40,3.00,0.27,0.47,1.86,2195,323
40,South,7,0.57,3.21,0.29,0.36,1.85,2195,323
41,South,6,0.53,3.00,0.33,0.47,1.67,2195,323
42,South,8,0.53,3.13,0.33,0.33,1.93,2195,323
43,South,8,0.55,2.90,0.30,0.35,1.83,2195,323
44,South,6,0.63,3.04,0.38,0.38,1.64,2195,413
45,South,8,0.55,2.90,0.50,0.30,1.90,2195,413
46,South,7,0.52,3.19,0.33,0.33,1.85,2195,413
47,South,9,0.55,2.55,0.15,0.55,1.95,2195,413
48,South,8,0.66,2.38,0.24,0.38,1.81,2195,413
49,South,8,0.52,3.04,0.38,0.38,2.13,2195,413
50,South,8,0.43,3.62,0.38,0.24,1.99,2195,413
51,South,7,0.60,2.55,0.35,0.20,1.39,2195,413
52,South,7,0.60,3.10,0.40,0.50,1.53,2195,513
53,South,7,0.40,3.65,0.35,0.40,2.06,2195,513
54,South,7,0.60,2.95,0.35,0.50,1.66,2195,513
55,South,9,0.38,3.43,0.24,0.24,2.03,2195,513
56,South,10,0.56,3.12,0.36,0.44,1.96,2195,513
57,South,9,0.89,3.42,0.34,0.34,2.02,2195,513
58,South,9,0.40,2.90,0.20,0.35,2.09,2195,513
