Group,Fork,Richness,EPT,FBI,Filters,Predators,Shannon,Room
43,South,6,0.36,1.12,0.08,0.88,1.16,2007
44,South,9,0.32,2.83,0.14,0.45,2.63,2007
45,South,7,0.56,2.68,0.32,0.44,1.74,2007
46,South,9,0.64,2.64,0.32,0.4,1.92,2007
47,South,9,0.6,2.76,0.36,0.44,1.88,2007
48,South,7,0.69,2.66,0.31,0.34,1.63,2007
49,South,8,0.68,2.56,0.36,0.4,1.65,2007
50,South,8,0.48,2.68,0.28,0.48,2.0,2007
51,South,9,0.58,2.65,0.35,0.38,1.98,2007
52,South,10,0.56,3.53,0.27,0.27,1.85,2007
53,South,10,0.57,3.53,0.27,0.27,1.85,2007
54,South,9,0.6,2.5,0.26,0.39,1.96,2007
55,South,7,0.58,2.13,0.17,0.58,1.69,2007
56,South,8,0.2,2.96,0.36,0.44,1.86,2007
57,South,8,0.44,2.76,0.04,0.44,1.79,2007
58,South,7,0.56,2.0,0.08,0.6,1.59,2007
59,South,7,0.44,3.52,0.36,0.2,1.84,2007
60,South,9,0.44,2.72,0.16,0.32,2.03,2007
61,South,8,0.52,3.04,0.32,0.44,1.84,2007
62,South,7,0.64,2.44,0.32,0.52,1.74,2007
63,South,8,0.56,2.72,0.16,0.36,1.86,2007
64,South,8,0.4,3.0,0.24,0.4,1.68,2007
65,South,8,0.6,2.92,0.4,0.44,1.72,2007
66,South,7,0.56,2.88,0.04,0.04,1.66,2007
67,South,10,0.52,2.28,0.12,0.6,1.78,2007
68,South,8,0.65,2.86,0.45,0.41,1.74,2007
69,South,8,0.6,2.73,0.23,0.56,1.72,2007
70,South,9,0.48,2.92,0.16,0.25,1.95,2007
71,South,7,0.52,2.48,0.04,0.52,1.74,2007
72,South,5,0.68,1.68,0.0,0.8,1.07,2007
73,South,9,0.6,2.44,0.16,0.52,1.73,2007
74,South,7,0.6,3.12,0.16,0.4,2.0,2007
75,South,7,0.28,2.12,0.16,0.6,1.35,2007
76,South,8,0.6,2.28,0.12,0.48,2.06,2007
77,South,6,0.74,3.04,0.48,0.37,1.42,2007
78,South,7,0.57,3.06,0.4,0.43,1.61,2007
79,South,6,0.24,2.12,0.24,0.52,1.67,2007
80,South,8,0.6,3.16,0.44,0.4,1.74,2007
81,South,8,0.67,2.25,0.21,0.05,1.69,2007
82,South,8,0.44,3.04,0.08,0.08,2.12,2007
83,South,9,0.68,2.36,0.12,0.36,1.95,2007
84,South,9,0.33,3.08,0.21,0.38,1.77,2007
1,North,8,0.458,5.04,0.542,0.083,1.71,2005
2,North,7,0.32,5.32,0.56,0.0,1.81,2005
3,North,6,0.42,5.08,0.65,0.038,1.427,2005
4,North,8,0.37,5.2,0.43,0.086,1.82,2005
5,North,6,0.28,5.6,0.44,0.08,1.69,2005
6,North,7,0.48,5.12,0.76,0.04,1.63,2005
7,North,7,0.28,5.4,0.48,0.12,1.77,2005
8,North,5,0.56,5.12,0.68,0.04,1.2,2005
9,North,8,0.36,4.92,0.44,0.08,1.5,2005
10,North,7,0.33,5.42,0.54,0.0,1.77,2005
11,North,8,32.0,4.04,32.0,20.0,2.0,2005
12,North,8,32.0,4.84,16.0,28.0,1.36,2005
13,North,7,0.4,5.24,0.56,0.08,1.77,2005
14,North,7,0.36,5.48,0.52,0.12,1.71,2005
15,North,8,0.32,4.68,0.48,0.2,1.92,2005
16,North,7,0.52,5.04,0.64,0.0,1.5,2005
17,North,9,0.28,5.24,0.24,0.12,2.01,2005
18,North,7,0.16,5.2,0.72,0.12,2.23,2005
19,North,6,0.32,5.68,0.68,0.0,1.63,2005
20,North,8,0.3,5.39,0.57,0.0,1.84,2005
21,North,7,0.44,4.92,0.56,0.12,1.69,2005
22,North,6,0.36,5.56,0.6,0.08,1.62,2005
23,North,5,0.52,5.12,0.76,0.12,1.07,2005
24,North,7,0.4,4.56,0.64,0.12,1.64,2005
25,North,8,0.28,5.8,0.52,0.12,2.14,2005
26,North,9,0.28,5.28,0.52,0.12,1.93,2005
27,North,6,0.4,5.24,0.76,0.12,1.699,2005
28,North,7,0.48,5.11,0.59,0.0,1.58,2005
29,North,8,0.4,4.16,0.16,0.04,1.803,2005
30,North,7,0.44,5.12,0.64,0.04,1.61,2005
31,North,7,0.41,5.0,0.66,0.04,1.59,2005
32,North,7,0.48,3.92,0.64,0.08,1.56,2005
33,North,5,0.48,4.92,0.52,0.0,1.35,2005
34,North,7,0.53,5.07,0.643,0.0,1.45,2005
35,North,10,0.32,4.96,0.44,0.16,2.077,2005
36,North,8,0.103,5.17,0.48,0.103,1.76,2005
37,North,7,0.32,4.6,0.64,0.04,1.65,2005
38,North,6,0.24,5.16,0.6,0.0,1.6,2005
39,North,7,0.24,5.64,0.6,0.04,1.68,2005
40,North,5,0.8,5.12,0.76,0.04,1.29,2005
41,North,7,0.2,4.68,0.16,0.0,1.782,2005
42,North,7,0.4,5.44,0.52,0.12,1.7,2005
43,North,9,0.4,4.28,0.08,0.24,2.043,2005
44,North,6,0.48,5.2,0.68,0.08,1.47,2005
45,North,8,0.24,4.48,0.28,0.2,1.95,2005
46,North,8,0.44,4.32,0.48,0.12,1.9,2005
47,North,8,0.32,5.04,0.28,0.16,1.89,2005
48,North,7,0.28,5.36,0.36,0.0,1.568,2005
49,North,7,0.48,5.12,0.56,0.08,1.6,2005
50,North,7,0.32,4.8,0.64,0.04,1.6,2005
51,North,7,0.0,5.6,0.4,0.12,1.75,2005
52,North,7,0.28,5.2,0.12,0.04,1.83,2005
53,North,9,0.4,5.08,0.6,0.12,1.92,2005
54,North,6,0.32,5.48,0.52,0.4,1.656,2005
55,North,5,0.44,4.92,0.84,0.0,1.0,2005
56,North,8,0.4,4.88,0.52,0.04,1.79,2005
57,North,7,0.0,5.6,0.4,0.12,1.74,2005
58,North,8,0.28,4.96,0.32,0.16,1.98,2005
59,North,8,0.32,5.44,0.44,0.12,1.84,2005
60,North,7,0.32,5.32,0.4,0.04,1.794,2005
61,North,7,0.4,5.04,0.56,0.04,1.7,2005
62,North,8,0.21,5.2,0.31,0.052,1.9,2005
63,North,9,0.23,4.6,0.32,0.0,2.034,2005
64,North,7,0.52,5.2,0.72,0.12,1.55,2005
65,North,7,0.2,5.7,0.32,0.08,1.84,2005
66,North,8,0.28,5.4,0.48,0.0,1.94,2005
67,North,6,0.44,5.2,0.52,0.08,1.563,2005
68,North,8,0.32,5.2,0.56,0.08,1.44,2005
1,South,8,0.64,3.0,0.24,0.44,1.78,2005
2,South,8,0.52,3.4,0.44,0.44,1.7904,2005
3,South,7,0.56,2.88,0.32,0.48,1.72,2005
4,South,8,0.5,3.43,0.43,0.333,1.88,2005
5,South,8,0.48,2.96,0.36,0.36,2.01,2005
6,South,7,0.56,3.6,0.44,0.4,1.7,2005
7,South,9,0.52,2.76,0.2,0.52,1.96,2005
8,South,8,0.48,3.2,0.32,0.32,1.9,2005
9,South,8,0.43,2.76,0.33,0.5,1.86,2005
10,South,8,0.61,2.96,0.35,0.3,1.84,2005
11,South,7,56.0,3.4,40.0,36.0,1.7,2005
12,South,8,32.0,2.88,8.0,8.0,1.17,2005
13,South,6,0.68,2.72,0.4,0.04,1.58,2005
14,South,7,0.4,3.16,0.24,0.32,1.87,2005
15,South,7,0.714,2.762,0.38,0.38,1.61,2005
16,South,8,0.44,3.36,0.4,0.28,1.91,2005
17,South,8,0.48,3.12,0.28,0.4,1.81,2005
18,South,6,0.52,3.32,0.4,0.16,1.66,2005
19,South,8,0.56,3.72,0.48,0.16,1.77,2005
20,South,7,0.52,3.3,0.39,0.39,1.77,2005
21,South,9,0.419,2.83,0.208,0.125,2.08,2005
22,South,8,0.44,2.24,0.04,0.6,1.73,2005
23,South,7,0.6,2.84,0.44,0.36,1.79,2005
24,South,8,0.24,3.04,0.08,0.12,1.75,2005
25,South,8,0.44,3.36,0.36,0.28,1.832,2005
26,South,10,0.48,3.52,0.38,0.38,1.91,2005
27,South,8,0.6,3.12,0.36,0.4,1.87,2005
28,South,9,0.36,2.88,0.24,0.44,2.078,2005
29,South,7,0.6,2.12,0.0,0.2,1.594,2005
30,South,7,0.5,3.63,0.38,0.33,1.9,2005
31,South,8,0.56,3.2,0.36,0.44,1.82,2005
32,South,5,0.7,3.1,0.46,0.5,1.46,2005
33,South,8,0.52,2.08,0.08,0.68,1.73,2005
34,South,6,0.64,2.29,0.24,0.18,1.45,2005
35,South,6,0.56,3.6,0.52,0.36,1.524,2005
36,South,7,0.48,2.8,0.28,0.48,1.83,2005
37,South,9,0.6,2.48,0.24,0.52,1.83,2005
38,South,8,0.52,2.92,0.28,0.32,1.807,2005
39,South,7,0.48,3.56,0.44,0.16,1.82,2005
40,South,6,0.92,3.08,0.44,0.48,1.6,2005
41,South,9,0.23,2.88,0.38,0.038,2.04,2005
42,South,7,0.6,3.2,0.44,0.32,1.73,2005
43,South,9,0.44,3.0,0.16,0.4,1.998,2005
44,South,9,0.52,2.04,0.08,0.56,1.89,2005
45,South,6,0.6,2.6,0.16,0.37,1.62,2005
46,South,9,0.44,2.92,0.2,0.4,1.94,2005
47,South,8,0.56,2.68,0.28,0.32,1.81,2005
48,South,8,0.52,3.32,0.36,0.32,1.972,2005
49,South,8,0.48,3.52,0.4,0.4,1.86,2005
50,South,8,0.56,2.84,0.28,0.4,1.9,2005
51,South,6,0.68,2.48,0.32,0.36,1.62,2005
52,South,12,0.6,2.92,0.24,0.4,2.12,2005
53,South,8,0.36,3.48,0.4,0.32,1.92,2005
54,South,7,0.41,3.11,0.41,0.44,1.852,2005
55,South,9,0.84,2.68,0.96,0.36,1.0,2005
56,South,7,0.58,3.25,0.33,0.45,1.705,2005
57,South,6,0.68,2.48,0.32,0.36,1.62,2005
58,South,8,0.48,3.96,0.0,0.16,1.92,2005
59,South,8,0.48,2.44,0.32,0.48,1.83,2005
60,South,10,0.44,2.68,0.4,0.52,2.064,2005
61,South,9,0.5,2.96,0.32,0.36,2.03,2005
62,South,8,0.308,3.31,0.39,0.308,1.6,2005
63,South,8,0.56,2.13,0.1,0.43,1.677,2005
64,South,10,0.52,2.84,0.2,0.4,2.26,2005
65,South,9,0.6,5.12,0.28,0.48,1.93,2005
66,South,8,0.52,3.6,0.4,0.16,1.83,2005
67,South,9,0.013,3.16,0.01,0.014,2.103,2005
68,South,7,0.542,2.92,0.292,0.458,1.79,2005
1,North,8,0.36,4.92,0.28,0.08,1.731,2195
2,North,6,0.46,4.58,0.31,0.42,1.51,2195
3,North,6,0.4,4.56,0.24,0.4,0.61,2195
4,North,6,0.4,4.64,0.52,0.04,1.57,2195
5,North,5,0.56,3.84,0.28,0.48,1.37,2195
6,North,9,0.56,3.04,0.08,0.04,1.69,2195
7,North,9,0.24,5.04,0.52,0.16,1.98,2195
8,North,6,0.28,5.36,0.44,0.16,1.67,2195
9,North,7,0.48,3.92,0.2,0.4,1.94,2195
10,North,7,0.4,5.48,0.48,0.12,1.66,2195
11,North,8,0.32,5.04,0.52,0.12,1.81,2195
12,North,6,0.36,5.28,0.6,0.0,1.6,2195
13,North,6,0.2,5.0,0.32,0.04,1.76,2195
14,North,6,0.32,5.36,0.6,0.0,1.6,2195
15,North,8,0.28,5.32,0.28,0.12,1.92,2195
16,North,7,0.2,5.24,0.44,0.04,1.76,2195
17,North,7,0.35,3.87,0.13,0.26,1.76,2195
18,North,7,0.24,5.16,0.4,0.08,1.76,2195
19,North,8,0.28,4.52,0.36,0.08,1.89,2195
20,North,8,0.52,5.2,0.68,0.08,1.08,2195
21,North,6,0.42,4.0,0.21,0.25,1.83,2195
22,North,7,0.4,4.4,0.56,0.08,1.7,2195
23,North,7,0.28,5.44,0.56,0.04,1.71,2195
24,North,7,0.28,4.72,0.04,0.08,1.72,2195
25,North,7,0.0,3.92,0.08,0.0,1.53,2195
26,North,8,0.64,4.6,0.44,0.24,2.0,2195
27,North,8,0.36,4.16,0.32,0.04,1.77,2195
28,North,9,0.24,4.6,0.16,0.32,0.96,2195
29,North,8,0.2,4.5,0.08,0.2,1.9,2195
30,North,8,0.08,3.64,0.0,0.08,1.49,2195
31,North,9,0.32,4.36,0.36,0.16,2.03,2195
32,North,7,0.34,5.58,0.54,0.0,1.67,2195
33,North,7,0.0,5.62,0.27,0.08,1.8,2195
34,North,9,0.1,4.5,0.05,0.2,1.71,2195
35,North,8,0.19,5.35,0.31,0.15,1.99,2195
36,North,7,0.2,5.36,0.52,0.8,1.78,2195
37,North,8,0.16,4.28,0.28,0.4,1.79,2195
38,North,6,0.36,4.72,0.56,0.0,1.55,2195
39,North,8,0.44,4.4,0.6,0.4,1.66,2195
40,North,6,0.44,4.68,0.56,0.4,1.51,2195
41,North,7,0.16,5.44,0.56,0.4,1.72,2195
42,North,8,0.28,4.72,0.44,0.12,1.88,2195
43,North,6,0.28,4.52,0.28,0.32,2.28,2195
44,North,7,0.36,5.12,0.48,0.04,1.73,2195
45,North,8,0.4,4.16,0.48,0.08,1.83,2195
46,North,8,0.24,4.72,0.44,0.08,1.73,2195
1,South,7,0.68,2.76,0.36,0.44,1.64028,2195
2,South,8,0.64,2.6,0.4,0.56,1.57,2195
3,South,7,0.48,2.68,0.16,0.48,2.8717,2195
4,South,9,0.56,3.13,0.2,0.52,1.85,2195
5,South,7,0.64,3.24,0.28,0.2,1.83,2195
6,South,6,0.76,2.96,0.4,0.36,1.3,2195
7,South,7,0.6,1.96,0.04,0.6,1.5,2195
8,South,9,0.44,2.86,0.24,0.44,2.01,2195
9,South,8,0.64,3.0,0.24,0.52,1.59,2195
10,South,9,0.52,3.32,0.32,0.32,2.03,2195
11,South,8,0.56,3.6,0.32,0.32,1.95,2195
12,South,9,0.32,2.64,0.5,0.4,2.02,2195
13,South,5,0.48,3.12,0.21,0.44,1.53,2195
14,South,6,0.66,2.72,0.75,0.46,1.5,2195
15,South,8,0.24,2.88,0.16,0.16,1.89,2195
16,South,9,0.6,3.0,0.24,0.16,1.93,2195
17,South,8,0.56,3.09,0.39,0.13,1.81,2195
18,South,8,0.44,2.72,0.4,0.12,2.02,2195
19,South,8,0.54,2.54,0.19,0.42,1.9,2195
20,South,10,0.5,2.87,0.25,0.33,2.12,2195
21,South,11,0.52,2.6,0.16,0.28,1.39,2195
22,South,7,0.48,2.8,0.28,0.4,1.81,2195
23,South,8,0.56,2.56,0.2,0.4,1.9,2195
24,South,6,0.56,3.04,0.04,0.08,1.65,2195
25,South,6,0.28,2.88,0.0,0.32,1.57,2195
26,South,9,0.4,4.24,0.28,0.32,1.96,2195
27,South,5,0.6,2.52,0.24,0.4,1.46,2195
28,South,8,0.64,2.2,0.04,0.16,1.0,2195
29,South,9,0.36,4.4,0.24,0.28,1.98,2195
30,South,9,0.56,3.32,0.08,0.12,1.81,2195
31,South,8,0.52,2.84,0.28,0.32,1.99,2195
32,South,7,0.62,3.28,0.04,0.16,1.78,2195
33,South,8,0.53,3.81,0.31,0.27,1.8,2195
34,South,7,0.65,1.96,0.08,0.52,1.48,2195
35,South,8,0.54,3.35,0.38,0.38,1.86,2195
36,South,7,0.52,2.92,0.28,0.36,1.9,2195
37,South,5,0.52,2.84,0.28,0.16,1.48,2195
38,South,6,0.52,3.12,0.02,0.48,1.64,2195
39,South,9,0.44,3.8,0.24,0.24,1.92,2195
40,South,9,0.48,2.8,0.24,0.48,2.05,2195
41,South,8,0.56,2.76,0.24,0.24,1.94,2195
42,South,8,0.64,2.24,0.24,0.32,2.4,2195
43,South,8,0.44,2.72,0.04,0.32,2.57,2195
44,South,9,0.48,3.32,0.28,0.4,2.04,2195
45,South,7,0.6,3.28,0.48,0.36,1.7,2195
46,South,8,0.6,2.8,0.28,0.32,1.91,2195
